;noun;n
798;skladník;1415
799;debil;1410
800;namibie;1407
801;nizozemka;1405
802;filantrop;1404
803;korektor;1401
804;novozélanďan;1401
805;stařeček;1399
806;brusič;1366
807;povaleč;1366
808;rybníkář;1363
809;halama;1350
810;ztroskotanec;1343
811;primitiv;1340
812;provozovatel restaurace;1336
813;nepoctivec;1335
814;exhibicionista;1334
815;chorvatka;1333
816;bafuňář;1327
817;dobrodinec;1322
818;slaboch;1315
819;narušitel;1312
820;zlíňan;1312
821;usedlík;1303
822;sukničkář;1295
823;chytrák;1274
824;jazykovědec;1273
825;rytec;1273
826;zlatíčko;1267
827;zambie;1261
828;stařena;1256
829;thajec;1253
830;tiskař;1245
831;zelinář;1244
832;mužíček;1238
833;brazilka;1235
834;šprýmař;1233
835;rekonvalescent;1232
836;muslimka;1229
837;ničema;1229
838;tovaryš;1218
839;židovka;1217
840;zlosyn;1213
841;kmet;1212
842;soukmenovec;1205
843;taneční mistr;1203
844;seychely;1201
845;pokrývač;1194
846;metodik;1191
847;neandertálec;1187
848;ostravák;1187
849;bulharka;1182
850;skalník;1178
851;šperkař;1176
852;zdravotnický záchranář;1175
853;exponent;1167
854;chalupník;1166
855;maskér;1160
856;prosťáček;1158
857;rozhodce;1153
858;vlkodlak;1153
859;neviňátko;1148
860;výrobní ředitel;1147
861;strojník;1140
862;hegemon;1135
863;hypochondr;1133
864;stavební inženýr;1131
865;uklízeč;1131
866;administrativní pracovník;1125
867;moralista;1125
868;běloruska;1123
869;blb;1120
870;kolonizátor;1119
871;ubožák;1113
872;hinduista;1112
873;zřízenec;1111
874;doyen;1105
875;urolog;1103
876;nestvůra;1092
877;schizofrenik;1086
878;mystik;1074
879;pokrytec;1074
880;primadona;1066
881;ignorant;1063
882;fakír;1061
883;externista;1060
884;posuzovatel;1058
885;florista;1054
886;převozník;1047
887;protiva;1046
888;zapisovatel;1041
889;poctivec;1040
890;honduras;1036
891;karbaník;1033
892;laos;1032
893;mauricius;1028
894;manekýn;1027
895;psanec;1027
896;klenotník;1026
897;nomád;1025
898;mosambik;1021
899;nikaragua;1018
900;vyvrhel;1018
901;kolonista;1016
902;rutinér;1011
903;pobuda;1010
904;starožitník;1004
905;surovec;1001
906;logoped;998
907;přisluhovač;991
908;dánka;988
909;finka;979
910;srbka;978
911;nečlen;975
912;obuvník;973
913;opozičník;973
914;černohorec;972
915;potížista;970
916;štvanec;970
917;fracek;955
918;osvětlovač;951
919;benjamín;949
920;vyděděnec;943
921;extrovert;941
922;nástrojař;939
923;finanční analytik;938
924;sanitář;937
925;šotek;932
926;doručovatel;924
927;zvrhlík;918
928;aristokratka;909
929;vegan;908
930;uzenář;900
931;hydrolog;897
932;bonviván;895
933;zběh;893
934;kypřan;890
935;tupec;884
936;cholerik;883
937;hrázný;881
938;praporčík;871
939;botswana;868
940;strejc;868
941;kápo;866
942;slovinka;866
943;dezertér;863
944;lidumil;860
945;tambor;859
946;jihokorejec;857
947;všeuměl;854
948;barista;850
949;bezvěrec;849
950;komparzista;847
951;optik;839
952;nadčlověk;837
953;vietnamka;835
954;seřizovač;834
955;výživový poradce;829
956;blondýn;828
957;tester;828
958;šibal;822
959;toreador;822
960;vykuk;822
961;kretén;819
962;burgr;808
963;palič;805
964;kněžka;803
965;krajkářka;803
966;proletář;794
967;záletník;792
968;etiopan;786
969;velitelka;785
970;honorace;773
971;čahoun;771
972;bezpečnostní technik;768
973;potentát;767
974;tatér;764
975;filipínec;762
976;staniční sestra;761
977;záložák;761
978;moldavan;755
979;dlaždič;752
980;mlékař;752
981;školní inspektor;751
982;svobodník;748
983;cizák;746
984;knihař;745
985;elektrotechnik;741
986;pedant;737
987;epileptik;735
988;zrzka;735
989;vrchní inspektor;732
990;farářka;728
991;lesní dělník;727
992;nádeník;727
993;laborant;726
994;nohsled;723
995;knihomol;721
996;lucemburčan;715
997;desátník;711
998;kamerunec;708
999;farmaceut;699
1000;simulant;696
1001;vinohradník;695
1002;vrchní komisař;686
1003;vodař;684
1004;montážní dělník;683
1005;negr;678
1006;technický dozor;674
1007;pračlověk;670
1008;blbeček;664
1009;jogín;664
1010;hrdlořez;660
1011;srandista;659
1012;slušňák;658
1013;geograf;655
1014;lakýrník;655
1015;peruánec;654
1016;tuzemec;648
1017;domkář;646
1018;popleta;645
1019;lodník;641
